protName
"(+)-alpha-pinene synthase, chloroplastic"
"Beta-conglycinin, beta chain"
"Beta-fructofuranosidase, cell wall isozyme"
"Beta-fructofuranosidase, insoluble isoenzyme 1"
"Beta-fructofuranosidase, insoluble isoenzyme 2"
"Beta-fructofuranosidase, insoluble isoenzyme 3"
"Beta-fructofuranosidase, insoluble isoenzyme 4"
"Beta-fructofuranosidase, insoluble isoenzyme 5"
"Beta-fructofuranosidase, insoluble isoenzyme 6"
"Beta-fructofuranosidase, insoluble isoenzyme 7"
"Beta-fructofuranosidase, insoluble isoenzyme CWINV4"
"Beta-fructofuranosidase, insoluble isoenzyme CWINV5"
"Beta-fructofuranosidase, soluble isoenzyme I"
"Beta-glucosidase 26, peroxisomal"
"Beta-glucosidase, GBA2 type family protein"
"Beta-glucosidase-like SFR2, chloroplastic"
"Beta-myrcene synthase, chloroplastic"
"Beta-phellandrene synthase (neryl-diphosphate-cyclizing), chloroplastic"
"Beta-phellandrene synthase, chloroplastic"
"Betaine aldehyde dehydrogenase, chloroplastic"
"Bifunctional 15-cis-phytoene synthase, chromoplastic"
"Bifunctional 6(G)-fructosyltransferase/2,1-fructan:2,1-fructan 1-fructosyltransferase"
"Bifunctional D-cysteine desulfhydrase/1-aminocyclopropane-1-carboxylate deaminase, mitochondrial"
"Bifunctional L-3-cyanoalanine synthase/cysteine synthase 1, mitochondrial"
"Bifunctional L-3-cyanoalanine synthase/cysteine synthase 2, mitochondrial"
"Bifunctional L-3-cyanoalanine synthase/cysteine synthase, mitochondrial"
"Bifunctional cis-abienol synthase, chloroplastic"
"Bifunctional diterpene synthase, chloroplastic"
"Bifunctional monothiol glutaredoxin-S16, chloroplastic"
"Biotin carboxyl carrier protein of acetyl-CoA carboxylase, chloroplastic"
"Biotin carboxylase 1, chloroplastic"
"Biotin carboxylase 2, chloroplastic"
"Biotin synthase, mitochondrial"
"Bowman-Birk type proteinase inhibitors I-A, I-B, and I-A'"
"Branched-chain amino acid aminotransferase 1, mitochondrial"
"Branched-chain amino acid aminotransferase 2, chloroplastic"
"Branched-chain-amino-acid aminotransferase 1, mitochondrial"
"Branched-chain-amino-acid aminotransferase 2, chloroplastic"
"Branched-chain-amino-acid aminotransferase 5, chloroplastic"
"Bromo-adjacent domain protein, putative (DUF3527)"
"C-terminal processing peptidase, chloroplastic"
"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein"
"CBS domain-containing protein CBSX1, chloroplastic"
"CBS domain-containing protein CBSX2, chloroplastic"
"CBS domain-containing protein CBSX3, mitochondrial"
"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase 1, chloroplastic"
"CDT1-like protein a, chloroplastic"
"CLP protease regulatory subunit CLPX1, mitochondrial"
"CLP protease regulatory subunit CLPX2, mitochondrial"
"CLP protease regulatory subunit CLPX3, mitochondrial"
"CRM-domain containing factor CFM2, chloroplastic"
"CRM-domain containing factor CFM3, chloroplastic/mitochondrial"
"CRM-domain containing factor CFM3A, chloroplastic/mitochondrial"
"CRM-domain containing factor CFM3B, chloroplastic"
"CRS2-associated factor 1, chloroplastic"
"CRS2-associated factor 1, mitochondrial"
"CRS2-associated factor 2, chloroplastic"
"CRS2-associated factor 2, mitochondrial"
"CRS2-like protein, chloroplastic"
"Cadherin EGF LAG seven-pass G-type receptor, putative (DUF3527)"
"Caffeic O-methyltransferase, putative; 68744-70102"
"Calcium sensing receptor, chloroplastic"
"Calcium uniporter protein 1, mitochondrial"
"Calcium uniporter protein 2, mitochondrial"
"Calcium uniporter protein 3, mitochondrial"
"Calcium uniporter protein 4, mitochondrial"
"Calcium uniporter protein 5, mitochondrial"
"Calcium uniporter protein 6, mitochondrial"
"Calcium uptake protein, mitochondrial"
"Calcium-transporting ATPase 1, plasma membrane-type"
"Calcium-transporting ATPase 10, plasma membrane-type"
"Calcium-transporting ATPase 3, plasma membrane-type"
"Calcium-transporting ATPase 5, plasma membrane-type"
"Calcium-transporting ATPase 7, plasma membrane-type"
"Calcium-transporting ATPase, endoplasmic reticulum-type"
"Calvin cycle protein CP12, chloroplastic"
"Calvin cycle protein CP12-1, chloroplastic"
"Calvin cycle protein CP12-3, chloroplastic"
"Camphene synthase, chloroplastic"
"Capsanthin/capsorubin synthase, chromoplastic"
"Carbamoyl-phosphate synthase large chain, chloroplastic"
"Carbamoyl-phosphate synthase small chain, chloroplastic"
"Carbohydrate esterase, putative (DUF303)"
"Carbonic anhydrase, chloroplastic"
"Carboxyl-terminal peptidase, putative (DUF239)"
"Carboxyl-terminal proteinase, putative (DUF239)"
"Carboxyl-terminal proteinase-like protein, putative (DUF239)"
"Carboxyl-terminal-processing peptidase 1, chloroplastic"
"Carboxyl-terminal-processing peptidase 2, chloroplastic"
"Carboxyl-terminal-processing peptidase 3, chloroplastic"
"Cardiolipin synthase (CMP-forming), mitochondrial"
"Carene synthase 1, chloroplastic"
"Carene synthase 2, chloroplastic"
"Carene synthase 3, chloroplastic"
"Carene synthase, chloroplastic"
"Carotene biosynthesis-related protein CBR, chloroplastic"
"Carotenoid 9,10(9',10')-cleavage dioxygenase 1"
"Carotenoid 9,10(9',10')-cleavage dioxygenase"
"Carotenoid cleavage dioxygenase 7, chloroplastic"
"Carotenoid cleavage dioxygenase 8 homolog A, chloroplastic"
"Carotenoid cleavage dioxygenase 8 homolog B, chloroplastic"
"Casbene synthase, chloroplastic"
"Casein kinase II subunit alpha-4, chloroplastic"
"Catechol oxidase B, chloroplastic"
"Cation/H(+) antiporter 23, chloroplastic"
"Cationic amino acid transporter 2, vacuolar"
"Cationic amino acid transporter 3, mitochondrial"
"Cationic amino acid transporter 4, vacuolar"
"Cationic amino acid transporter 6, chloroplastic"
"Cationic amino acid transporter 7, chloroplastic"
"Cationic amino acid transporter 8, vacuolar"
"Cationic amino acid transporter 9, chloroplastic"
"Cell differentiation, Rcd1-like protein"
"Cell division cycle 20.1, cofactor of APC complex"
"Cell division cycle 20.2, cofactor of APC complex"
"Cell division cycle 20.3, cofactor of APC complex"
"Cell division cycle 20.4, cofactor of APC complex"
"Cell division cycle 20.5, cofactor of APC complex"
"Cell division cycle 20.6, cofactor of APC complex"
"Cell division protein FtsY homolog, chloroplastic"
"Cell division protein FtsZ homolog 1, chloroplastic"
"Cell division protein FtsZ homolog 2-1, chloroplastic"
"Cell division protein FtsZ homolog 2-2, chloroplastic"
"Cell division topological specificity factor homolog, chloroplastic"
"Chaperone protein ClpB2, chloroplastic"
"Chaperone protein ClpB3, chloroplastic"
"Chaperone protein ClpB3, mitochondrial"
"Chaperone protein ClpB4, mitochondrial"
"Chaperone protein ClpC, chloroplastic"
"Chaperone protein ClpC1, chloroplastic"
"Chaperone protein ClpC2, chloroplastic"
"Chaperone protein ClpC3, chloroplastic"
"Chaperone protein ClpC4, chloroplastic"
"Chaperone protein ClpD, chloroplastic"
"Chaperone protein ClpD1, chloroplastic"
"Chaperone protein ClpD2, chloroplastic"
"Chaperone protein dnaJ 1, mitochondrial"
"Chaperone protein dnaJ 11, chloroplastic"
"Chaperone protein dnaJ 20, chloroplastic"
"Chaperone protein dnaJ 8, chloroplastic"
"Chaperone protein dnaJ A6, chloroplastic"
"Chaperone protein dnaJ A7A, chloroplastic"
"Chaperone protein dnaJ A7B, chloroplastic"
"Chaperone protein dnaJ A8, chloroplastic"
"Chaperone protein dnaJ C76, chloroplastic"
"Chaperone protein dnaJ GFA2, mitochondrial"
"Chaperonin 60 subunit alpha 1, chloroplastic"
"Chaperonin 60 subunit alpha 2, chloroplastic"
"Chaperonin 60 subunit beta 1, chloroplastic"
"Chaperonin 60 subunit beta 2, chloroplastic"
"Chaperonin 60 subunit beta 3, chloroplastic"
"Chaperonin 60 subunit beta 4, chloroplastic"
"Chaperonin CPN60, mitochondrial"
"Chaperonin CPN60-1, mitochondrial"
"Chaperonin CPN60-2, mitochondrial"
"Chaperonin CPN60-like 1, mitochondrial"
"Chaperonin CPN60-like 2, mitochondrial"
"Chaperonin HSP60, mitochondrial"
"Chaperonin-like RBCX protein 1, chloroplastic"
"Chaperonin-like RbcX protein 2, chloroplastic"
"Chitin synthase, putative (DUF1218)"
"Chlorophyll a-b binding protein 1, chloroplastic"
"Chlorophyll a-b binding protein 13, chloroplastic"
"Chlorophyll a-b binding protein 151, chloroplastic"
"Chlorophyll a-b binding protein 16, chloroplastic"
"Chlorophyll a-b binding protein 1A, chloroplastic"
"Chlorophyll a-b binding protein 1B, chloroplastic"
"Chlorophyll a-b binding protein 1B-20, chloroplastic"
"Chlorophyll a-b binding protein 1B-21, chloroplastic"
"Chlorophyll a-b binding protein 1C, chloroplastic"
"Chlorophyll a-b binding protein 2, chloroplastic"
"Chlorophyll a-b binding protein 2.1, chloroplastic"
"Chlorophyll a-b binding protein 2.2, chloroplastic"
"Chlorophyll a-b binding protein 2.4, chloroplastic"
"Chlorophyll a-b binding protein 21, chloroplastic"
"Chlorophyll a-b binding protein 215, chloroplastic"
"Chlorophyll a-b binding protein 22, chloroplastic"
"Chlorophyll a-b binding protein 22L, chloroplastic"
"Chlorophyll a-b binding protein 22R, chloroplastic"
"Chlorophyll a-b binding protein 25, chloroplastic"
"Chlorophyll a-b binding protein 3, chloroplastic"
"Chlorophyll a-b binding protein 36, chloroplastic"
"Chlorophyll a-b binding protein 37, chloroplastic"
"Chlorophyll a-b binding protein 3A, chloroplastic"
"Chlorophyll a-b binding protein 3B, chloroplastic"
"Chlorophyll a-b binding protein 3C, chloroplastic"
"Chlorophyll a-b binding protein 3c, chloroplastic"
"Chlorophyll a-b binding protein 4, chloroplastic"
"Chlorophyll a-b binding protein 40, chloroplastic"
"Chlorophyll a-b binding protein 48, chloroplastic"
"Chlorophyll a-b binding protein 5, chloroplastic"
"Chlorophyll a-b binding protein 50, chloroplastic"
"Chlorophyll a-b binding protein 6, chloroplastic"
"Chlorophyll a-b binding protein 6A, chloroplastic"
"Chlorophyll a-b binding protein 7, chloroplastic"
"Chlorophyll a-b binding protein 8, chloroplastic"
"Chlorophyll a-b binding protein 91R, chloroplastic"
"Chlorophyll a-b binding protein AB10, chloroplastic"
"Chlorophyll a-b binding protein AB80, chloroplastic"
"Chlorophyll a-b binding protein C, chloroplastic"
"Chlorophyll a-b binding protein CP24 10A, chloroplastic"
"Chlorophyll a-b binding protein CP24 10B, chloroplastic"
"Chlorophyll a-b binding protein CP24, chloroplastic"
"Chlorophyll a-b binding protein CP26, chloroplastic"
"Chlorophyll a-b binding protein CP29.1, chloroplastic"
"Chlorophyll a-b binding protein CP29.2, chloroplastic"
"Chlorophyll a-b binding protein CP29.3, chloroplastic"
"Chlorophyll a-b binding protein E, chloroplastic"
"Chlorophyll a-b binding protein L1818, chloroplastic"
"Chlorophyll a-b binding protein M9, chloroplastic"
"Chlorophyll a-b binding protein P4, chloroplastic"
"Chlorophyll a-b binding protein of LHCII type I, chloroplastic"
"Chlorophyll a-b binding protein of LHCII type III, chloroplastic"
"Chlorophyll a-b binding protein type 1 member F3, chloroplastic"
"Chlorophyll a-b binding protein type 2 member 1A, chloroplastic"
"Chlorophyll a-b binding protein type 2 member 1B, chloroplastic"
"Chlorophyll a-b binding protein type I, chloroplastic"
"Chlorophyll a-b binding protein, chloroplastic"
"Chlorophyll synthase, chloroplastic"
"Chlorophyll(ide) b reductase NOL, chloroplastic"
"Chlorophyllase-1, chloroplastic"
"Chlorophyllide a oxygenase, chloroplastic"
"Chloroplast sensor kinase, chloroplastic"
"Chloroplast stem-loop binding protein of 41 kDa a, chloroplastic"
"Chloroplast stem-loop binding protein of 41 kDa b, chloroplastic"
"Chloroplastic group IIA intron splicing facilitator CRS1, chloroplastic"
"Chloroplastic group IIB intron splicing facilitator CRS2, chloroplastic"
"Chloroplastic group IIB intron splicing facilitator CRS2-A, chloroplastic"
"Chloroplastic group IIB intron splicing facilitator CRS2-B, chloroplastic"
"Chloroplastidic phosphoglucan, water dikinase (ATGWD3)"
"Choline monooxygenase, chloroplastic"
"Chorismate synthase 1, chloroplastic"
"Chorismate synthase 2, chloroplastic"
"Chorismate synthase, chloroplastic"
"Chromophore lyase CRL, chloroplastic"
"Chromoplast-specific carotenoid-associated protein C1, chromoplastic"
"Chromoplast-specific carotenoid-associated protein C2, chromoplastic"
"Chromoplast-specific carotenoid-associated protein, chromoplastic"
"Chromosome-partitioning protein, putative (DUF639)"
"Chrysanthemyl diphosphate synthase, chloroplastic"
"Chymotrypsin inhibitor I, A, B and C subunits"
"Cis-abienol synthase, chloroplastic"
"Citrate synthase 5, mitochondrial"
"Citrate synthase, glyoxysomal"
"Citrate synthase, mitochondrial"
"Clp protease adapter protein ClpF, chloroplastic"
"Co-factor for nitrate, reductase and xanthine dehydrogenase 5"
"Coiled-coil protein, putative (DUF572)"
"Cold, circadian rhythm, and RNA binding 1"
"Cold, circadian rhythm, and rna binding 2"
"Cold-regulated 413 inner membrane protein 1, chloroplastic"
"Cold-regulated 413 inner membrane protein 2, chloroplastic"
"Copal-8-ol diphosphate hydratase, chloroplastic"
"Copper chaperone for superoxide dismutase, chloroplastic"
"Copper chaperone for superoxide dismutase, chloroplastic/cytosolic"
"Coproporphyrinogen-III oxidase 2, chloroplastic"
"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"
"Core-2/I-branching beta-1,6-n-acetylglucosaminyltransferase family protein"
"Cotton fiber, putative (DUF761)"
"Coumarin 8-geranyltransferase 1, chloroplastic"
"Coumarin 8-geranyltransferase 1b, chloroplastic"
"Crocetin glucosyltransferase, chloroplastic"
"Crooked neck protein, putative / cell cycle protein"
"Cryptochrome DASH, chloroplastic/mitochondrial"
"Cyclin-dependent kinase, putative (DUF581)"
"Cysteine desulfurase 1, chloroplastic"
"Cysteine desulfurase, mitochondrial"
"Cysteine synthase, chloroplastic/chromoplastic"
"Cysteine synthase, mitochondrial"
"Cysteine--tRNA ligase 1, cytoplasmic"
"Cysteine--tRNA ligase 2, cytoplasmic"
"Cysteine--tRNA ligase CPS1 homolog, chloroplastic/mitochondrial"
"Cysteine--tRNA ligase CPS1, chloroplastic/mitochondrial"
"Cysteine--tRNA ligase, chloroplastic/mitochondrial"
"Cysteine-rich repeat secretory protein, putative (DUF26)"
"Cysteinyl-tRNA synthetase, class Ia family protein"
"Cytochrome B561, amino-terminal protein"
"Cytochrome P450 97B1, chloroplastic"
"Cytochrome P450 97B2, chloroplastic"
"Cytochrome P450, family 702, subfamily A, polypeptide 2"
"Cytochrome P450, family 702, subfamily A, polypeptide 3"
"Cytochrome P450, family 702, subfamily A, polypeptide 5"
"Cytochrome P450, family 702, subfamily A, polypeptide 6"
"Cytochrome P450, family 702, subfamily A, polypeptide 8"
"Cytochrome P450, family 704, subfamily A, polypeptide 1"
"Cytochrome P450, family 705, subfamily A, polypeptide 1"
"Cytochrome P450, family 705, subfamily A, polypeptide 15"
"Cytochrome P450, family 705, subfamily A, polypeptide 18"
"Cytochrome P450, family 705, subfamily A, polypeptide 21"
"Cytochrome P450, family 705, subfamily A, polypeptide 22"
"Cytochrome P450, family 705, subfamily A, polypeptide 27"
"Cytochrome P450, family 705, subfamily A, polypeptide 28"
"Cytochrome P450, family 705, subfamily A, polypeptide 33"
"Cytochrome P450, family 706, subfamily A, polypeptide 1"
"Cytochrome P450, family 707, subfamily A, polypeptide 1"
"Cytochrome P450, family 707, subfamily A, polypeptide 2"
"Cytochrome P450, family 707, subfamily A, polypeptide 4"
"Cytochrome P450, family 708, subfamily A, polypeptide 2"
"Cytochrome P450, family 708, subfamily A, polypeptide 3"
"Cytochrome P450, family 709, subfamily B, polypeptide 1"
"Cytochrome P450, family 709, subfamily B, polypeptide 2"
"Cytochrome P450, family 709, subfamily B, polypeptide 3"
"Cytochrome P450, family 71, subfamily A, polypeptide 14"
"Cytochrome P450, family 71, subfamily A, polypeptide 18"
"Cytochrome P450, family 71, subfamily A, polypeptide 20"
"Cytochrome P450, family 71, subfamily A, polypeptide 23"
"Cytochrome P450, family 71, subfamily A, polypeptide 24"
"Cytochrome P450, family 71, subfamily A, polypeptide 27"
"Cytochrome P450, family 71, subfamily A, polypeptide 28"
"Cytochrome P450, family 71, subfamily B, polypeptide 20"
"Cytochrome P450, family 71, subfamily B, polypeptide 26"
"Cytochrome P450, family 71, subfamily B, polypeptide 28"
"Cytochrome P450, family 71, subfamily B, polypeptide 32"
"Cytochrome P450, family 71, subfamily B, polypeptide 4"
"Cytochrome P450, family 712, subfamily A, polypeptide 2"
"Cytochrome P450, family 714, subfamily A, polypeptide 1"
"Cytochrome P450, family 714, subfamily A, polypeptide 2"
"Cytochrome P450, family 715, subfamily A, polypeptide 1"
"Cytochrome P450, family 716, subfamily A, polypeptide 1"
"Cytochrome P450, family 718"
"Cytochrome P450, family 72, subfamily A, polypeptide 10"
"Cytochrome P450, family 72, subfamily A, polypeptide 13"
"Cytochrome P450, family 72, subfamily A, polypeptide 15"
"Cytochrome P450, family 72, subfamily A, polypeptide 9"
"Cytochrome P450, family 722, subfamily A, polypeptide 1"
"Cytochrome P450, family 724, subfamily A, polypeptide 1"
"Cytochrome P450, family 735, subfamily A, polypeptide 1"
"Cytochrome P450, family 735, subfamily A, polypeptide 2"
"Cytochrome P450, family 76, subfamily C, polypeptide 1"
"Cytochrome P450, family 76, subfamily C, polypeptide 3"
"Cytochrome P450, family 76, subfamily C, polypeptide 5"
"Cytochrome P450, family 76, subfamily C, polypeptide 6"
"Cytochrome P450, family 76, subfamily C, polypeptide 7"
"Cytochrome P450, family 76, subfamily G, polypeptide 1"
"Cytochrome P450, family 78, subfamily A, polypeptide 8"
"Cytochrome P450, family 79, subfamily B, polypeptide 2"
"Cytochrome P450, family 79, subfamily B, polypeptide 3"
"Cytochrome P450, family 79, subfamily C, polypeptide 1"
"Cytochrome P450, family 81, subfamily D, polypeptide 3"
"Cytochrome P450, family 81, subfamily K, polypeptide 2"
"Cytochrome P450, family 82, subfamily F, polypeptide 1"
"Cytochrome P450, family 86, subfamily C, polypeptide 3"
"Cytochrome P450, family 87, subfamily A, polypeptide 2"
"Cytochrome P450, family 89, subfamily A, polypeptide 3"
"Cytochrome P450, family 90, subfamily D, polypeptide 1"
"Cytochrome P450, family 94, subfamily B, polypeptide 1"
"Cytochrome P450, family 96, subfamily A, polypeptide 10"
"Cytochrome P450, family 96, subfamily A, polypeptide 11"
"Cytochrome P450, family 96, subfamily A, polypeptide 15"
"Cytochrome P450, family 96, subfamily A, polypeptide 4"
"Cytochrome b-c1 complex subunit Rieske, mitochondrial"
"Cytochrome b-c1 complex subunit Rieske-1, mitochondrial"
"Cytochrome b-c1 complex subunit Rieske-2, mitochondrial"
"Cytochrome b-c1 complex subunit Rieske-3, mitochondrial"
"Cytochrome b-c1 complex subunit Rieske-4, mitochondrial"
"Cytochrome b-c1 complex subunit Rieske-5, mitochondrial"
"Cytochrome b5, seed isoform"
"Cytochrome b561, DM13 and DOMON domain-containing protein At5g54830"
"Cytochrome b6-f complex iron-sulfur subunit 1, chloroplastic"
"Cytochrome b6-f complex iron-sulfur subunit 2, chloroplastic"
"Cytochrome b6-f complex iron-sulfur subunit, chloroplastic"
"Cytochrome b6-f complex subunit 7, chloroplastic"
"Cytochrome b6-f complex subunit 8, chloroplastic"
"Cytochrome b6-f complex subunit petO, chloroplastic"
"Cytochrome c biogenesis protein CCS1, chloroplastic"
"Cytochrome c oxidase assembly protein COX11, mitochondrial"
